crawled_at,isbn,title,cover,author,publisher,pub_date,price,discount_percent,category_type,category_name,parent_category,page_count,description
,9.79E+12,가공범,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791170612759.jpg,히가시노 게이고,북다,2025-07-21,19800,10,국내도서,일본소설,소설,528,"히가시노 게이고 작가 데뷔 40주년! 진실을 찾는 눈, 진심을 향한 걸음 고다이 쓰토무가 시작하는 새로운 시리즈 “이 소재를 작품으로 쓸 날은 오지 않을 거라고 생각했습니다.” - 히가시노 게이고 ‘오늘의 일본을 대표하는 작가’이자 일본 내 ‘단행본 판매 누계 1억 부’ 돌파라는 전대미문의 쾌거를 거둔 히가시노 게이고의 장편소설 『가공범』이 종합 출판 브랜드 북다에서 출간되었다. 1985년 데뷔하여 2025년 작가 데뷔 40주년을 맞이한 그는 『백조와 박쥐』에 한차례 등장한 고다이 쓰토무를 주인공으로 내세움으로써 새로운 시리즈의 시작을 알렸다. 고다이는 예리한 관찰안과 부지런한 발을 지닌 인물로 기존에 작가가 그려 온 천재형 탐정 캐릭터들과는 차이가 있다. 유능함보다는 성실함이 큰 장점인데 긴 시간 묵묵히 미스터리 장르에 헌신해 온 히가시노 게이고와 가장 닮았다. 불에 탄 저택에서 유명 정치인과 전직 배우 부부의 시체가 발견된다. 화려한 삶을 살아온 이들에게 무슨 일이 벌어진 걸까? 두 사람은 무슨 비밀을 끌어안고 있는 것일까? 고다이 형사는 좀처럼 풀리지 않는 사건의 실마리를 풀기 위해 일본 전역을 동분서주 돌아다닌다. 이 과정에서 그가 느낀 사소한 의심이 쌓여 마침내 사건이 품고 있던 엄청난 비밀이 밝혀진다. 천재 캐릭터나 기상천외한 범죄 없이도 여러 번 숨을 멎게 하는 히가시노 게이고의 매력이 더욱 빛을 발하는 작품이다. 『가공범』은 일본 출간 후 이례적으로 빠른 증쇄와 2024년 베스트 미스터리 선정, 2025년 일본미스터리문학 대상 수상, 일본 최대 서점 체인 기노쿠니야·출판 유통사 토한 종합 1위 등의 성과를 거두며 히가시노 매직이 더욱 강력해졌음을 증명해 냈다. 과거의 열정과 현재의 명성에 안주하지 않는, 히가시노 게이고의 작가 인생 40년이 담겼다."
,9.79E+12,혼모노,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788936439743.jpg,성해나,창비,2025-03-28,16200,10,국내도서,한국소설,소설,368,"2024·2025 젊은작가상, 2024 이효석문학상 우수작품상 수상작 수록 작품마다 치밀한 취재와 정교한 구성을 바탕으로 한 개성적인 캐릭터와 강렬하고도 서늘한 서사로 평단과 독자의 주목을 고루 받으며 새로운 세대의 리얼리즘을 열어가고 있다 평가받는 작가 성해나가 두번째 소설집 『혼모노』를 선보인다. 성해나는 2024·2025 젊은작가상, 2024 이효석문학상 우수작품상, 2024 김만중문학상 신인상 등 다수의 문학상을 연달아 수상하고 온라인 서점 예스24가 선정한 ‘2024 한국문학의 미래가 될 젊은 작가’ 투표에서 1위로 선정되는 등 이미 그 화제성을 증명한 바 있다. 첫 소설집 『빛을 걷으면 빛』(문학동네 2022)에서 타인을 이해하려는 시도를 부드럽고 따스한 시선으로 담아내고, 첫 장편소설 『두고 온 여름』(창비 2023)에서 오해와 결별로 얼룩진 과거에 애틋한 인사를 건네고자 했던 그가 『혼모노』에 이르러 더욱 예리해진 문제의식과 흡인력 넘치는 서사를 통해 지역, 정치, 세대 등 우리를 가르는 다양한 경계를 들여다보며 세태의 풍경을 선명하게 묘파해낸다. 특히 이번 소설집에는 지난해 끊임없이 호명되며 문단을 휩쓸었다 해도 과언이 아닐 표제작 「혼모노」를 비롯해 작가에게 2년 연속 젊은작가상을 선사해준 「길티 클럽: 호랑이 만지기」, 이 계절의 소설과 올해의 문제소설에 선정된 「스무드」 등이 수록되어 더욱 눈길을 끈다. “작가의 ‘신명’이라 불”릴(추천사, 이기호) 만큼 “질투 나는 재능”(추천사, 박정민)으로 빛나는 『혼모노』, 그토록 기다려왔던 한국문학의 미래가 바로 지금 우리 앞에 도착해 있다."
,9.79E+12,다크 심리학,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791198754080.jpg,다크 사이드 프로젝트,어센딩,2025-07-31,19710,10,국내도서,심리학,인문,320,"‘다크 심리학’은 인간 본성의 어두운 면을 탐구하여 타인의 감정을 조종하거나 조작하는 기술을 융합한 것이다. 그런데 최근 들어 수많은 사람이 다크 심리학에 깊은 관심을 보인다. 과연 왜 그럴까? 바로 힘과 지혜, 권력과 지식을 통해 자신의 현재 삶을 바꾸고 싶은 인간의 심리가 기저에 깔려 있기 때문이다. 국내 최초 다크 심리학을 기반한 심리 기술을 담아낸 《다크 심리학》은 인간의 본성, 그 ‘어두운 프로그래밍’을 실전 기술로 해부한 책이다. 이 책에 담긴 ‘다크 심리 기술’은 우리가 실생활에서 타인을 설득(조종)하고, 갈등을 해결(조작)할 수 있는 탁월한 방법들을 정리한 것이다. 이를 통해 누구나 다양한 관계에서 만연한 심리적 조작에서 벗어날 수 있으며, 반대로 나에게 유리하게 이끄는 기술을 배울 수 있다. 사실 ‘다크 심리 기술’은 새로운 지식이 아니다. 인류의 오랜 역사 속에서 계속 반복되어 온 권력 획득과 유지의 법칙을 현대적으로 재해석한 것이다. 그런데 ‘이 기술’을 이미 다른 사람들에게 강력한 무기로 쓰는 사람들이 있다. 그러나 대다수의 사람은 아무것도 모른 채 그냥 조종당하고 있을 뿐이다. 세상의 모든 것은 설계되어 있다. 그런데 당신은 아무 설계도 없이 살아온 것이다. 이 책은 이미 조종당하고 있는 이들을 위한 ‘생존 설명서’와 같다. 이 책을 통해 ‘어둠의 구조’와 전략을 알게 된다면, 더는 ‘당하는 희생자’가 아니다. 더 나아가 필요하다면 ‘어둠의 기술’들을 창의적으로 재구성할 수도 있다. 지금, 당신이 살아남기 위해 가장 먼저 읽어야 할 책. 《다크 심리학》을 꼭 만나기를 바란다."
,9.79E+12,자몽살구클럽,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199305304.jpg,한로로,어센틱,2025-07-25,10800,10,국내도서,한국소설,소설,준비중,"〈자몽살구클럽〉은 싱어송라이터 한로로가 발매할 세 번째 EP 음악 앨범과 연결된 동명의 소설이다. 그는 데뷔 싱글 '입춘'부터 지금까지 사회의 그림자 속에서 살아가는 청춘의 이야기를 음악으로 만들어오고 있다. 이는 한로로 자신이 대한민국 사회 속에서 버둥거리며 살아가는 젊음이기 때문일 것이다. 이상을 꿈꾸는 이상한 자들을 응원하는 '이상비행', 혼란스러운 우리가 서로를 괴롭히는 세태를 고발하는 '집', 다음으로 한로로가 바라본 사회의 단면은 '내몰리는 아이들'이었다. 이 시대는 어른들뿐만 아니라 어린아이들까지 벼랑 끝으로 내몰고 있다는 것, 그 잔인한 현실을 무섭게 직시하는 이야기를 세 번째 음악 앨범으로 한로로는 담고 싶었다. 하지만 약 20분 길이의 음악앨범에 그 모든 이야기를 담을 수는 없었다. 그리하여 한로로는 우리에게 긴 호흡의 소설을 선사하게 된 것이다. 죽고 싶은 네명의 아이들이 비밀 클럽 '자몽살구클럽'에서 만나 서로를 살리기로 한다. 각자의 모진 삶을 견디기 힘들어 모인 '소하', '태수', '유민', '보현'의 에피소드는 생존이라는 목표 아래 처절하게 전개된다. 마치 누군가가 겪어봤을 것만 같은 현실 묘사를 통해 한로로는 우리의 유년 속에 자리 잡은 다양한 아픔을 조명한다. 가장 순수하고 아름답게 보내야 할 아이들의 시절이 현실에 찌든 어른들에 의해 상처받는다. 이 잔인한 시대의 비극을 소설을 통해 목격하는 것만으로 독자들은 나의 잔인함을 경계하고 보다 더 너그러운 어른이 될 계기를 맞이할 것이다."
,9.79E+12,모순,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788998441012.jpg,양귀자,쓰다,2013-04-01,11700,10,국내도서,한국소설,소설,307,"양귀자 소설의 힘을 보여준 베스트셀러 『모순』. 1998년에 초판이 출간된 이후 132쇄를 찍으며 여전히 많은 사랑을 받고 있는 작품을, 오래도록 소장할 수 있는 양장본으로 새롭게 선보인다. 스물다섯 살 미혼여성 안진진을 통해 모순으로 가득한 우리의 인생을 들여다본다. 작가 특유의 섬세한 문장들로 여러 인물들의 삶을 생생하게 그려내고 있다. 시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명 상태로 떠돌다 가끔씩 귀가하는 아버지, 조폭의 보스가 인생의 꿈인 남동생을 가족으로 둔 안진진. 어머니와 일란성 쌍둥이인 이모는 부유하지만 지루한 삶에 지쳐 있고, 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 안진진은 사뭇 다른 어머니와 이모의 삶을 바라보며 모순투성이인 삶을 어떻게 이해해야 하는지 고민하기 시작하는데…."
,9.79E+12,편안함의 습격,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791193238691.jpg,마이클 이스터,수오서재,2025-06-24,19800,10,국내도서,인문학일반,인문,444,"오늘날 우리는 그 어느 때보다 편안한 환경에서 살고 있다. 모든 실내는 완벽한 온도 조절 시설을 갖추었고, 배고픔을 느낄 새 없이 주변에 먹을 것이 풍족하며, 현대 의학의 발달로 기대 수명은 늘어났고, 생존을 위협할 만한 도전이 딱히 없다. 그러나 과연 편안함은 건강과 행복한 삶을 가져다주었을까? 행동 변화 전문가이자 건강 분야 저널리스트인 마이클 이스터는 북극 알래스카를 비롯해 부탄, 전쟁 지역, 볼리비아 정글 등을 탐험하고, 각 분야 최고의 석학들과 프로 스포츠 선수, 종교 및 환경 지도자에 이르기까지 수천 명의 전문가를 인터뷰하면서 현대인의 건강과 행복, 의미 있는 삶을 탐구해왔다. 삶을 최적화하는 데 실질적인 도움이 되는 과학적 전략을 찾아온 그는 인류가 잃어버린 감각, ‘불편함’에서 해답을 찾았다. 저자는 직접 극한의 불편함을 체험하기 위해 33일간 알래스카 오지 순록 사냥을 떠나기도 한다. 흥미진진하고 실험적인 알래스카 취재기와 더불어 뇌과학, 정신분석학, 진화심리학, 운동생리학, 인류학 등 다양한 분야의 혁신적인 연구 결과들을 제시하며, 우리 삶에 불편함이 필요한 근거를 설득력 있게 펼친다. 이 책은 ‘편안함이 곧 행복과 충만함으로 이어진다’는 현대의 지배적인 서사에 과감히 도전한다. 인류가 잃어버린 감각, 불편함의 진화적 효용을 탐구하고, 중독, 우울증, 불안, 자살, 비만, 외로움증후군, 번아웃, 삶의 의미 상실 등 현대인들이 당면한 문제가 어떻게 편안함과 연결되는지 심도 있게 분석한다."
,9.79E+12,박곰희 연금 부자 수업,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791168342941.jpg,박곰희,인플루엔셜,2025-06-25,18900,10,국내도서,재테크/금융,경제/경영,준비중,"대한민국이 초고령사회에 진입한 지금, 더 충격적인 현실이 드러났다. 서울금융복지상담센터 분석에 따르면 개인파산 신청자의 86%가 50대 이상 중장년층이며, 통계청 자료로는 성인 4명 중 1명이 아예 노후 준비를 포기한 상태다. 준비 없는 노후는 더 이상 남의 일이 아니다. 이런 절망적인 현실 앞에서 베스트셀러 《박곰희 투자법》 출간 5년 만에 돌아온 금융 유튜버 박곰희가 이번엔 연금으로 평생 월급 받는 비밀을 공개한다. 증권사 출신인 저자는 5년간 금융 유튜버로 활동하며 수많은 구독자의 연금 고민을 직접 들어왔다. “투자를 잘 모르는데 연금은 어떻게 준비해야 할까요?”, “3억 원으로 정말 노후 생활이 가능할까요?”, “55세, 연금 준비 늦은 걸까요?”와 같은 절실한 질문들에 대한 현실적이고 구체적인 답변을 《박곰희 연금 부자 수업》에 녹여냈다. 복잡한 투자 지식이나 목돈 없이도 4개의 절세 통장과 검증된 투자 방법만으로 누구나 따라 할 수 있는 연금 부자 로드맵을 완성했다. 이 책의 가장 혁신적인 부분은 은퇴 후 안정적인 자산 인출 전략으로 ‘4% 룰’을 적용했다는 점이다. 저자는 은퇴자금에서 매년 4%씩 인출하면 30년 이상 또는 평생 자금이 고갈되지 않는다는 검증된 방법론을 활용해 원금은 보존하면서 수익으로만 생활하는 ‘마르지 않는 현금흐름’을 만드는 구체적인 방법을 제시한다. 실제로 노벨상을 수여하는 노벨재단도 이와 유사한 원리로 120년간 꾸준히 상금을 지급해오고 있다. 저자는 이 과학적 근거를 바탕으로 연금 자산의 4~6%만 매년 인출하면 평생 사용할 수 있는 전략을 구체화했다. 또한 월 50만 원부터 200만 원까지 개인의 투자 여력에 따른 구체적인 포트폴리오와 납입 전략을 제시하고, 자산 규모별로 실제 현금흐름이 어떻게 만들어지는지 보여준다. 단순히 돈을 모으는 것에 그치지 않고, 연금 개시부터 월배당 중심 포트폴리오 전환, 세금 최적화, 수령 방식 선택까지 연금 수령의 모든 과정을 5단계로 나누어 상세히 안내한다. 저자는 “완벽한 계획을 세우는 것보다 불완전하더라도 우선 시작하는 것이 중요하다”고 강조한다. 30~40대 직장인부터 50대 예비 은퇴자까지, 노후 준비를 시작하고 싶지만 어디서부터 손대야 할지 모르는 투자 초보자들에게 이 책은 가장 현실적이고 검증된 해답을 제시한다."
,9.79E+12,호의에 대하여,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791173323027.jpg,문형배,김영사,2025-08-28,16920,10,국내도서,나라별 에세이,시/에세이,408,"나의 일상을 풍요롭게 채우는 건 어떤 의미인가, 다른 사람의 삶을 온전히 이해할 수 있는가, 사람과 사회는 바뀔 수 있는가. 자작나무에서 지리산으로, 도스토옙스키에서 몽테스키외로, 일상에서 재판까지. 호의는 사람을, 세상을 어떻게 바꾸는가. 받은 것을 사회에 되돌려주라던 김장하 선생과의 추억, 법을 몰라 손해 보는 이들을 헤아리는 마음, ‘자살’을 시도했던 재소자가 ‘살자’는 다짐을 하게 만든 선물, 사랑하는 이를 그리워하며 속절없이 흘리는 눈물, 그리고 건강한 법원과 사회를 향한 진심 어린 조언… 더 나은 길에 대한 소박한 상상과 아름다운 이들에 대한 따뜻한 진심. 문형배가 말하는 결코 탄핵할 수 없는 것에 대하여."
,9.79E+12,류수영의 평생 레시피,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194087700.jpg,류수영,세미콜론,2025-06-25,22500,10,국내도서,테마별요리,요리,준비중,"너무 쉬워서 너무 맛있어서 대한민국 밥상을 발칵 뒤집어놓은, 자타공인 집밥 마스터 ‘어남선생’ 류수영. 수년간 자체 개발한 300여 개의 레시피를 추리고 추리고 추려서 한 권의 책으로 펴낸다. 남녀노소 모두의 입맛을 사로잡을 메뉴부터 한껏 분위기를 낼 수 있는 특식까지, 〈편스토랑〉을 비롯해 그동안 방송에서 소개했던 레시피 중에서 가장 사랑받은 79가지 메뉴를 엄선한 것이다. 책으로 만드는 과정에서 다시 한번 재료와 계량 및 소요 시간에 대한 꼼꼼한 점검이 이루어졌으며, 그 결과 좀 더 정교하고 완벽한 레시피로 재탄생했다. 부엌이 좁은 자취생, 끼니 챙기기가 막막한 사회 초년생, 이제 막 결혼한 신혼부부, 아이를 키우는 양육자, 은퇴하신 아버지까지, 남녀노소 불문하고 대한민국 국민이라면 모두의 필독서이다. 류수영이 만드는 음식은 조리법이 복잡하고 어려운 요리가 아니라, 저렴하고 일상적인 재료로 쉽고 간단하지만 깊은 맛을 내는 것이 특징이다. 또한 계량스푼이나 계량컵이 아닌 밥숟가락과 티스푼, 물컵과 소주잔을 이용하고, 후추나 식용유 역시 따로 덜지 않고 용기에서 바로 계량할 수 있도록 하는 등 극강의 간편함을 추구한다. 특히 이번 책에서는 조리도구도 프라이팬, 냄비, 칼 등만 있으면 모든 요리가 가능하며, 그 흔한 오븐이나 에어프라이어 없이 완성할 수 있도록 구성했다. 사소한 부분까지 상세하게 설명하고 있어 요리 초보자들도 쉽게 따라 할 수 있다는 점은 이 책의 가장 큰 매력 중 하나일 것이다. 제육볶음의 양념은 밀폐용기 뚜껑을 닫고 흔들면 잘 버무려진다거나, 닭볶음탕의 감자는 웍 가장자리 쪽에 빙 둘러 넣으면 부서지지 않는다거나, 냄비에 식용유를 넣고 바닥에 물결이 생기면 충분히 예열된 것이라거나, 닭백숙을 끓일 때 닭의 다리 힘줄 옆에 칼집을 내고 반대쪽 다리를 넣어 꼬아준다거나, 다진 마늘은 마지막에 넣어야 향이 훨씬 좋다거나, 카레나 반죽물을 갤 때 포크를 이용하면 잘 섞인다거나 하는 것들이 그것이다. 거의 모든 단계마다 적혀 있는 생생한 팁들은 마치 바로 옆에서 나만을 위해 안내하듯 친절하다. 수년에 걸쳐 거듭한 실패와 성공을 바탕으로 다듬어진 정교한 레시피인 만큼 독자들은 그런 시행착오를 조금이라도 덜 경험하기를 바라는 류수영의 마음이다. 유튜브에서 ‘류수영 레시피’ ‘어남선생 레시피’ 검색어를 입력하면 뜨는 영상의 누적 합산은 무려 3억 뷰가 넘는다. (2025년 5월 기준) 여기에 쇼츠, 그리고 인스타그램 등의 SNS 채널까지 더하면 더 이상 집계가 어려워질 정도인데, 저렴한 비용으로 차리는 푸짐하고 근사한 집밥, 매일 쏟아지는 후기가 보증한다. “요리 왕초보입니다. 덕분에 우리 집 식탁이 풍부해져요.” “어남선생은 그냥 요리 천재다.” “많은 레시피를 따라해봤지만 류수영 레시피만큼 쉽고 맛있는 건 없었어요.” “너무 맛있어서 내가 한 거 맞나 싶었어요.” 실제로 SNS에는 많은 시청자들이 류수영의 레시피를 따라 요리한 후기와 인증샷 혹은 영상이 올라오고, 관련 유튜브 동영상마다 수백 개의 댓글이 달릴 정도로 높은 참여와 호응을 얻고 있다."
,9.79E+12,안녕이라 그랬어,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791141602376.jpg,김애란,문학동네,2025-06-20,15120,10,국내도서,한국소설,소설,320,"소설가 김애란이 『바깥은 여름』(문학동네, 2017) 이후 팔 년 만에 새 소설집으로 돌아왔다. “사회적 공간 속을 떠다니는 감정의 입자를 포착하고 그것에 명료한 표현을 부여하는 특유의 능력을 예리하게 발휘한 소설”이라는 평과 함께 2022 김승옥문학상 우수상을 수상한 「홈 파티」와 2022 오영수문학상 수상작인 「좋은 이웃」을 비롯해 총 일곱 편의 단편이 수록된 『안녕이라 그랬어』는 강력한 정서적 호소력과 딜레마적 물음으로 한 세계를 중층적으로 쌓아올리는 특장이 여전히 발휘되는 가운데, 이전보다 조금은 서늘하고 비정해진 김애란을 만날 수 있다. 이번 소설집의 주인공은 ‘공간’이라고도 할 수 있다. “많은 희곡 속 사건은 ‘초대’와 ‘방문’, ‘침입’과 ‘도주’로 시작됐다”(「홈 파티」, 42쪽)라는 소설 속 표현처럼, 이번 책에서는 인물들이 누군가의 공간을 방문하면서 이야기가 펼쳐진다. 그곳은 집주인의 미감과 여유를 짐작하게 하는 우아하고 안정적인 공간이거나(「홈 파티」), 값싼 물가와 저렴한 체류 비용 덕분에 한 달 여행이라는 “생애 처음으로 누리는 사치”를 가능하게 하는 해외의 단독주택이다(「숲속 작은 집」). 또는 정성스레 가꾸고 사용해왔지만 이제는 새 집주인을 위해 이사 준비를 해야 하는 전셋집이거나(「좋은 이웃」), 회사를 관두고 그간 모은 돈을 전부 털어 문을 연 책방이기도 하다(「레몬케이크」). 『안녕이라 그랬어』에서 공간이 중요한 이유는 그곳이 단순히 이야기의 배경으로 기능하는 게 아니라 인물들의 삶 그 자체와 같기 때문이다. 특히 우리 사회에서 ‘방 한 칸’이 가지는 의미를 남다른 통찰력으로 묘사해온 바 있는 김애란에게 어떤 공간은 누군가의 경제적, 사회적 지표를 가늠하게 하는 장소이자 한 사람의 내력이 고스란히 담긴 총체적이고 복합적인 장소이다. 때문에 이번 소설집에서 공간을 둘러싸고 벌어지는 갈등은 서로의 삶의 기준이 맞부딪치는 일이라고 할 수 있다. 다른 사람의 공간으로 들어가는 것은, 달리 말하면 나로 살아온 삶의 테두리를 벗어나는 사건인 것이다. 김애란은 「홈 파티」에서 다음과 같이 질문한다. “한 사람이 다른 사람의 자리에 서보는 건 얼마나 어려운 일인가?”(24쪽) 타인의 공간을 방문하는 일은 다른 사람을 이해하는 확장의 길이 될까, 아니면 서로의 기준을 꺾어 누르는 침입의 길이 될까. 어느 때보다 ‘나’라는 테두리를 벗어나 ‘우리’로 나아가기 어려운 현실 속에서, 눈앞의 풍경과 나와 관계 맺는 사람이 돈으로 치환 가능한 숫자가 되어가는 현실 속에서 김애란의 질문은 더욱 절실하게 다가온다. 그리고 그 질문은 이렇게 바꿔 물을 수 있다. 공통의 포기와 낙담을 경험하고 다시금 새로운 출발선이 펼쳐졌을 때, 과연 그전과 무엇이 달라졌고 무엇이 지켜졌느냐고. 또는 무엇이 달라지고 무엇이 지켜져야만 하느냐고. 그것은 바로 누군가에게 안녕과 평안을 묻는 일이 더없이 간절해진 지금 우리에게 필요한 김애란식의 인사일 것이다."
